Hilton Malmö City;Triangeln 2;211 43; MALMÖ
ICA Maxi Hyllinge;;;
ICA Supermarket Lomma;Skolskeppsgatan 2;234 43; LOMMA
Astrid & Aporna;Gustav Möllersgatan 2;211 51; MALMÖ
ICA Supermarket Rönneholm;V. Rönneholmsvägen 62;217 41; MALMÖ
ICA Supermarket Löddeköpinge;Barsebäcksvägen 60;246 30; LÖDDEKÖPINGE
ICA Supermarket Karlssons Svedala;Storgatan 30;233 31; SVEDALA
ICA Maxi Cypressvägen Malmö;Cypressvägen 4;213 63; MALMÖ
ICA Supermarket Söder;S. Förstadsgatan 83;214 20; MALMÖ
ICA Malmborgs Erikslust;Erikslustvägen 17;200 74; MALMÖ
Coop Extra Eslöv;Västerlånggatan 12;241 31; ESLÖV
Bloom;;;
ICA Malmborgs Limhamn;Linnégatan 48;216 14; LIMHAMN
Margaretapaviljongen;Margaretavägen;217 46; MALMÖ
ICA Malmborgs Caroli City;Humlegatan 9;211 27; MALMÖ
ICA Supermarket Möllevången;Sofielundsvägen 21;214 25; MALMÖ
Njut Bar;Stora Nygatan 23;211 37; MALMÖ
ICA Maxi Västra Hamnen;Stora Varvsgatan 17A;211 19; MALMÖ
ICA Malmborgs Clementstorget;Clementstorget 5;222 21; LUND
ICA Malmborgs Mobilia;P A Hanssons väg 40;214 32; MALMÖ
ICA Mathuset;Dalslundsvägen 1;232 51; ÅKARP
ICA Nära Amiralsgatan;Amiralsgatan 96;214 37; MALMÖ
ICA Kvantum Mobilia Lund;Traktorvägen1-3;227 21; LUND
Anderssons ICA Kvantum;Revingevägen 2;247 31; S. SANDBY
ICA Supermarket Bunkeflostrand;Klagshamnsvägen 40;218 37; BUNKEFLOSTRAND
ICA OJ Åstorp;Trädgårdsgatan 40;265 26; ÅSTORP
ICA Nära Mårtensson;Strandvägen 167;234 32; LOMMA
ICA Oj Helsingborg;Karl Krooks gata 30;252 25; HELSINGBORG
ICA Supermarket Tollarp;;;
ICA Maxi Stormarknad Kristianstad;Sjökronagatan 7;291 53; KRISTIANSTAD
ICA Kvantum Hörby;Ringsjövägen 7;242 31; HÖRBY
ICA Kvantum Landskrona;Östervångsplan 10;261 44; LANDSKRONA
ICA Nära Lindeborg;;;
Goodtrade Scandinavia AB;Box 48;121 21; JOHANNESHOV
ICA Kvantum Vellinge;Järnvägsgatan 2;235 81; VELLINGE
ICA Jätten Lund;;;
ICA Maxi Stormarknad Helsingborg;Regementsvägen 7;254 57; HELSINGBORG
ICA Toppen Höllviken;Kungstorpsvägen 8 B;236 32; HÖLLVIKEN
ICA Supermarket Bellevue;Svansjögatan 3;217 66; MALMÖ
ICA Träffen Mörarp;Bjuvsleden 11;261 34; MÖRARP
ICA Maxi Ängelholm;Hugingatan 1;262 71; ÄNGELHOLM
Coop Extra Bulltofta;Cederströmsgatan 9;212 39; MALMÖ
Gatukontoret Malmö;;;
ICA Maxi Löddeköpinge;Marknadsvägen 8;246 42; LÖDDEKÖPINGE
Kaptenbrons Kiosk;Lilla Nygatan;211 38; MALMÖ
Coop Extra Värnhemstorget (Butik 106500);Föreningsgatan 72;212 14; MALMÖ
ICA Supermarket Ystad;Militärvägen 4;271 39; YSTAD
ICA Nära Röstånga;Billingevägen 6;260 24; RÖSTÅNGA
Röstånga Camping & Bad;;;
ICA Supermarket Sjöbo;Planteringsgatan 50;275 33; SJÖBO
